"metadata__language","metadata__transactionId","metadata__version","metadata__fromDate","metadata__toDate","metadata__station","metadata__status_code","metadata__message","actualWeatherData__date","actualWeatherData__time","actualWeatherData__temperature","actualWeatherData__relativeHumidity"
"","","","","","","","","2022-01-04","20:45:00","24.8","99.0"
"","","","","","","","","2022-01-04","21:00:00","24.4","99.0"
"","","","","","","","","2022-01-04","21:15:00","23.8","99.0"
"","","","","","","","","2022-01-04","21:30:00","23.7","99.0"
"","","","","","","","","2022-01-04","21:45:00","23.6","99.0"
"","","","","","","","","2022-01-04","22:00:00","23.5","99.0"
"","","","","","","","","2022-01-04","22:15:00","24.1","99.0"
"","","","","","","","","2022-01-04","22:30:00","24.6","99.0"
"","","","","","","","","2022-01-04","22:45:00","24.4","99.0"
"","","","","","","","","2022-01-04","23:00:00","23.9","99.0"
"","","","","","","","","2022-01-04","23:15:00","23.5","99.0"
"","","","","","","","","2022-01-04","23:30:00","23.3","99.0"
"","","","","","","","","2022-01-04","23:45:00","23.3","99.0"
"","","","","","","","","2022-01-05","00:15:00","23.3","99.0"
"","","","","","","","","2022-01-05","00:30:00","23.1","99.0"
"","","","","","","","","2022-01-05","00:45:00","23.2","99.0"
"","","","","","","","","2022-01-05","01:00:00","23.0","99.0"
"","","","","","","","","2022-01-05","01:15:00","23.0","99.0"
"","","","","","","","","2022-01-05","01:30:00","22.8","99.0"
"","","","","","","","","2022-01-05","01:45:00","22.8","99.0"
"","","","","","","","","2022-01-05","02:00:00","22.6","99.0"
"","","","","","","","","2022-01-05","02:15:00","22.5","99.0"
"","","","","","","","","2022-01-05","02:30:00","22.4","99.0"
"","","","","","","","","2022-01-05","02:45:00","22.3","99.0"
"","","","","","","","","2022-01-05","03:00:00","22.2","99.0"
"","","","","","","","","2022-01-05","03:15:00","22.0","99.0"
"","","","","","","","","2022-01-05","03:30:00","21.8","99.0"
"","","","","","","","","2022-01-05","03:45:00","21.7","99.0"
"","","","","","","","","2022-01-05","04:15:00","21.9","99.0"
"","","","","","","","","2022-01-05","04:30:00","21.9","99.0"
"","","","","","","","","2022-01-05","04:45:00","21.7","99.0"
"","","","","","","","","2022-01-05","05:00:00","21.5","99.0"
"","","","","","","","","2022-01-05","05:15:00","21.3","99.0"
"","","","","","","","","2022-01-05","05:30:00","21.5","99.0"
"","","","","","","","","2022-01-05","05:45:00","22.2","99.0"
"","","","","","","","","2022-01-05","06:00:00","22.2","99.0"
"","","","","","","","","2022-01-05","06:15:00","22.2","99.0"
"","","","","","","","","2022-01-05","06:30:00","21.9","99.0"
"","","","","","","","","2022-01-05","06:45:00","21.6","99.0"
"","","","","","","","","2022-01-05","07:00:00","21.6","99.0"
"","","","","","","","","2022-01-05","07:15:00","21.6","99.0"
"","","","","","","","","2022-01-05","07:30:00","21.6","99.0"
"","","","","","","","","2022-01-05","07:45:00","22.2","99.0"
"","","","","","","","","2022-01-05","08:00:00","22.2","99.0"
"","","","","","","","","2022-01-05","08:15:00","22.7","99.0"
"","","","","","","","","2022-01-05","08:30:00","23.5","99.0"
"","","","","","","","","2022-01-05","08:45:00","23.7","99.0"
"","","","","","","","","2022-01-05","09:00:00","23.9","99.0"
"","","","","","","","","2022-01-05","09:15:00","24.2","99.0"
"","","","","","","","","2022-01-05","09:30:00","24.7","99.0"
"","","","","","","","","2022-01-05","09:45:00","24.9","99.0"
"","","","","","","","","2022-01-05","10:00:00","25.1","99.0"
"","","","","","","","","2022-01-05","10:15:00","25.4","99.0"
"","","","","","","","","2022-01-05","10:30:00","25.7","99.0"
"","","","","","","","","2022-01-05","10:45:00","25.9","99.0"
"","","","","","","","","2022-01-05","11:00:00","25.8","99.0"
"","","","","","","","","2022-01-05","11:15:00","25.8","99.0"
"","","","","","","","","2022-01-05","11:30:00","26.4","99.0"
"","","","","","","","","2022-01-05","11:45:00","26.4","99.0"
"","","","","","","","","2022-01-05","12:15:00","26.7","99.0"
"","","","","","","","","2022-01-05","12:30:00","26.7","96.0"
"","","","","","","","","2022-01-05","12:45:00","27.4","99.0"
"","","","","","","","","2022-01-05","13:00:00","28.0","81.0"
"","","","","","","","","2022-01-05","13:15:00","27.8","80.0"
"","","","","","","","","2022-01-05","13:30:00","28.2","76.0"
"","","","","","","","","2022-01-05","13:45:00","27.6","81.0"
"","","","","","","","","2022-01-05","14:00:00","27.3","93.0"
"","","","","","","","","2022-01-05","14:15:00","27.3","95.0"
"","","","","","","","","2022-01-05","14:30:00","27.6","96.0"
"","","","","","","","","2022-01-05","14:45:00","26.9","90.0"
"","","","","","","","","2022-01-05","15:00:00","27.4","88.0"
"","","","","","","","","2022-01-05","15:15:00","27.3","91.0"
"","","","","","","","","2022-01-05","15:30:00","27.3","83.0"
"","","","","","","","","2022-01-05","15:45:00","27.3","84.0"
"","","","","","","","","2022-01-05","16:00:00","27.3","84.0"
"","","","","","","","","2022-01-05","16:15:00","27.8","79.0"
"","","","","","","","","2022-01-05","16:30:00","27.4","88.0"
"","","","","","","","","2022-01-05","16:45:00","27.3","99.0"
"","","","","","","","","2022-01-05","17:00:00","26.3","99.0"
"","","","","","","","","2022-01-05","17:15:00","26.3","99.0"
"","","","","","","","","2022-01-05","17:30:00","26.0","99.0"
"","","","","","","","","2022-01-05","17:45:00","25.8","99.0"
"","","","","","","","","2022-01-05","18:00:00","25.6","99.0"
"","","","","","","","","2022-01-05","18:15:00","25.4","99.0"
"","","","","","","","","2022-01-05","18:30:00","25.2","99.0"
"","","","","","","","","2022-01-05","18:45:00","25.1","99.0"
"","","","","","","","","2022-01-05","19:15:00","24.8","99.0"
"","","","","","","","","2022-01-05","19:30:00","24.6","99.0"
"","","","","","","","","2022-01-05","19:45:00","24.4","99.0"
"","","","","","","","","2022-01-05","20:00:00","24.5","99.0"
"","","","","","","","","2022-01-05","20:15:00","24.7","99.0"
"","","","","","","","","2022-01-05","20:30:00","24.7","99.0"
"","","","","","","","","2022-01-05","20:45:00","24.7","99.0"
"","","","","","","","","2022-01-05","21:00:00","24.7","99.0"
"","","","","","","","","2022-01-05","21:15:00","24.6","99.0"
"","","","","","","","","2022-01-05","21:30:00","24.6","99.0"
"","","","","","","","","2022-01-05","21:45:00","24.6","99.0"
"","","","","","","","","2022-01-05","22:00:00","24.2","99.0"
"","","","","","","","","2022-01-05","22:15:00","24.1","99.0"
"","","","","","","","","2022-01-05","22:30:00","23.7","99.0"
"","","","","","","","","2022-01-05","22:45:00","23.8","99.0"
"","","","","","","","","2022-01-05","23:00:00","23.7","99.0"
"","","","","","","","","2022-01-05","23:15:00","23.7","99.0"
"","","","","","","","","2022-01-05","23:30:00","23.6","99.0"
"","","","","","","","","2022-01-05","23:45:00","23.8","99.0"
"","","","","","","","","2022-01-06","00:00:00","23.6","99.0"
"","","","","","","","","2022-01-06","00:15:00","23.6","99.0"
"","","","","","","","","2022-01-06","00:30:00","23.1","99.0"
"","","","","","","","","2022-01-06","00:45:00","22.8","99.0"
"","","","","","","","","2022-01-06","01:00:00","22.3","99.0"
"","","","","","","","","2022-01-06","01:15:00","22.1","99.0"
"","","","","","","","","2022-01-06","01:30:00","22.2","99.0"
"","","","","","","","","2022-01-06","01:45:00","22.1","99.0"
"","","","","","","","","2022-01-06","02:00:00","22.1","99.0"
"","","","","","","","","2022-01-06","02:15:00","21.9","99.0"
"","","","","","","","","2022-01-06","02:30:00","21.8","99.0"
"","","","","","","","","2022-01-06","02:45:00","21.6","99.0"
"","","","","","","","","2022-01-06","03:00:00","21.7","99.0"
"","","","","","","","","2022-01-06","03:15:00","21.4","99.0"
"","","","","","","","","2022-01-06","03:30:00","21.5","99.0"
"","","","","","","","","2022-01-06","03:45:00","21.7","99.0"
"","","","","","","","","2022-01-06","04:00:00","22.2","99.0"
"","","","","","","","","2022-01-06","04:15:00","22.6","99.0"
"","","","","","","","","2022-01-06","04:30:00","22.7","99.0"
"","","","","","","","","2022-01-06","04:45:00","22.9","99.0"
"","","","","","","","","2022-01-06","05:00:00","22.8","99.0"
"","","","","","","","","2022-01-06","05:15:00","22.7","99.0"
"","","","","","","","","2022-01-06","05:30:00","22.6","99.0"
"","","","","","","","","2022-01-06","05:45:00","22.6","99.0"
"","","","","","","","","2022-01-06","06:00:00","22.0","99.0"
"","","","","","","","","2022-01-06","06:15:00","21.9","99.0"
"","","","","","","","","2022-01-06","06:30:00","21.8","99.0"
"","","","","","","","","2022-01-06","06:45:00","21.6","99.0"
"","","","","","","","","2022-01-06","07:15:00","21.3","99.0"
"","","","","","","","","2022-01-06","07:30:00","21.4","99.0"
"","","","","","","","","2022-01-06","07:45:00","21.6","99.0"
"","","","","","","","","2022-01-06","08:00:00","22.1","99.0"
"","","","","","","","","2022-01-06","08:15:00","22.4","99.0"
"","","","","","","","","2022-01-06","08:30:00","22.7","99.0"
"","","","","","","","","2022-01-06","08:45:00","23.3","99.0"
"","","","","","","","","2022-01-06","09:00:00","23.9","99.0"
"","","","","","","","","2022-01-06","09:15:00","24.2","99.0"
"","","","","","","","","2022-01-06","09:30:00","24.6","99.0"
"","","","","","","","","2022-01-06","09:45:00","24.6","99.0"
"","","","","","","","","2022-01-06","10:00:00","24.4","99.0"
"","","","","","","","","2022-01-06","10:15:00","24.5","99.0"
"","","","","","","","","2022-01-06","10:30:00","24.9","99.0"
"","","","","","","","","2022-01-06","10:45:00","24.7","99.0"
"","","","","","","","","2022-01-06","11:00:00","25.5","99.0"
"","","","","","","","","2022-01-06","11:15:00","25.1","99.0"
"","","","","","","","","2022-01-06","11:30:00","25.8","99.0"
"","","","","","","","","2022-01-06","11:45:00","26.2","99.0"
"","","","","","","","","2022-01-06","12:00:00","26.3","99.0"
"","","","","","","","","2022-01-06","12:15:00","26.4","99.0"
"","","","","","","","","2022-01-06","12:30:00","26.1","99.0"
"","","","","","","","","2022-01-06","12:45:00","26.2","99.0"
"","","","","","","","","2022-01-06","13:00:00","26.1","99.0"
"","","","","","","","","2022-01-06","13:15:00","26.3","97.0"
"","","","","","","","","2022-01-06","13:30:00","26.1","99.0"
"","","","","","","","","2022-01-06","13:45:00","25.8","99.0"
"","","","","","","","","2022-01-06","14:00:00","26.2","99.0"
"","","","","","","","","2022-01-06","14:15:00","26.2","99.0"
"","","","","","","","","2022-01-06","14:30:00","26.3","99.0"
"","","","","","","","","2022-01-06","14:45:00","26.1","99.0"
"","","","","","","","","2022-01-06","15:00:00","26.3","99.0"
"","","","","","","","","2022-01-06","15:15:00","26.4","99.0"
"","","","","","","","","2022-01-06","15:30:00","26.1","99.0"
"","","","","","","","","2022-01-06","15:45:00","26.0","99.0"
"","","","","","","","","2022-01-06","16:00:00","26.1","99.0"
"","","","","","","","","2022-01-06","16:15:00","26.3","99.0"
"","","","","","","","","2022-01-06","16:30:00","26.0","99.0"
"","","","","","","","","2022-01-06","16:45:00","25.9","99.0"
"","","","","","","","","2022-01-06","17:00:00","25.6","99.0"
"","","","","","","","","2022-01-06","17:15:00","25.4","99.0"
"","","","","","","","","2022-01-06","17:30:00","25.2","99.0"
"","","","","","","","","2022-01-06","17:45:00","25.0","99.0"
"","","","","","","","","2022-01-06","18:15:00","24.7","99.0"
"","","","","","","","","2022-01-06","18:30:00","24.7","99.0"
"","","","","","","","","2022-01-06","18:45:00","24.6","99.0"
"","","","","","","","","2022-01-06","19:00:00","24.4","99.0"
"","","","","","","","","2022-01-06","19:15:00","24.3","99.0"
"","","","","","","","","2022-01-06","19:30:00","24.3","99.0"
"","","","","","","","","2022-01-06","19:45:00","24.3","99.0"
"","","","","","","","","2022-01-06","20:00:00","24.3","99.0"
"","","","","","","","","2022-01-06","20:15:00","24.1","99.0"
"","","","","","","","","2022-01-06","20:30:00","24.0","99.0"
"","","","","","","","","2022-01-06","20:45:00","23.9","99.0"
"","","","","","","","","2022-01-06","21:00:00","23.8","99.0"
"","","","","","","","","2022-01-06","21:15:00","23.7","99.0"
"","","","","","","","","2022-01-06","21:30:00","23.6","99.0"
"","","","","","","","","2022-01-06","21:45:00","23.4","99.0"
"","","","","","","","","2022-01-06","22:00:00","23.0","99.0"
"","","","","","","","","2022-01-06","22:15:00","23.0","99.0"
"","","","","","","","","2022-01-06","22:30:00","22.5","99.0"
"","","","","","","","","2022-01-06","22:45:00","22.0","99.0"
"","","","","","","","","2022-01-06","23:00:00","21.9","99.0"
"","","","","","","","","2022-01-06","23:15:00","21.7","99.0"
"","","","","","","","","2022-01-06","23:30:00","21.7","99.0"
"","","","","","","","","2022-01-06","23:45:00","21.9","99.0"
"","","","","","","","","2022-01-07","00:00:00","21.8","99.0"
"","","","","","","","","2022-01-07","00:15:00","21.9","99.0"
"","","","","","","","","2022-01-07","00:30:00","22.2","99.0"
"","","","","","","","","2022-01-07","00:45:00","22.2","99.0"
"","","","","","","","","2022-01-07","01:00:00","22.0","99.0"
"","","","","","","","","2022-01-07","01:15:00","21.7","99.0"
"","","","","","","","","2022-01-07","01:30:00","21.5","99.0"
"","","","","","","","","2022-01-07","01:45:00","21.4","99.0"
"","","","","","","","","2022-01-07","02:00:00","21.4","99.0"
"","","","","","","","","2022-01-07","02:15:00","21.4","99.0"
"","","","","","","","","2022-01-07","02:30:00","21.7","99.0"
"","","","","","","","","2022-01-07","02:45:00","21.9","99.0"
"","","","","","","","","2022-01-07","03:00:00","21.7","99.0"
"","","","","","","","","2022-01-07","03:15:00","21.6","99.0"
"","","","","","","","","2022-01-07","03:30:00","21.5","99.0"
"","","","","","","","","2022-01-07","03:45:00","21.2","99.0"
"","","","","","","","","2022-01-07","04:00:00","21.1","99.0"
"","","","","","","","","2022-01-07","04:15:00","21.1","99.0"
"","","","","","","","","2022-01-07","04:30:00","21.5","99.0"
"","","","","","","","","2022-01-07","04:45:00","21.8","99.0"
"","","","","","","","","2022-01-07","05:15:00","22.2","99.0"
"","","","","","","","","2022-01-07","05:30:00","22.0","99.0"
"","","","","","","","","2022-01-07","05:45:00","21.9","99.0"
